Neighborhood,Year,Seller Investor Type,Sale Count,Total Price Volume
Brighton,2013,Institutional,4,"1,082,000"
Brighton,2014,Institutional,8,"3,380,532"
Brighton,2015,Institutional,4,"2,175,500"
Brighton,2016,Institutional,5,"2,509,000"
Brighton,2017,Institutional,11,"8,155,873"
Brighton,2018,Institutional,5,"1,976,000"
Brighton,2019,Institutional,6,"10,215,070"
Brighton,2020,Institutional,6,"4,406,000"
Brighton,2021,Institutional,3,"2,325,000"
Brighton,2022,Institutional,8,"10,255,001"
Charlestown,2000,Small,34,"11,889,175"
Charlestown,2001,Small,44,"20,220,067"
Charlestown,2002,Small,31,"12,132,950"
Charlestown,2003,Small,28,"12,934,900"
Charlestown,2004,Small,157,"68,516,949"
Charlestown,2005,Small,200,"93,267,692"
Charlestown,2006,Small,70,"34,935,008"
Charlestown,2007,Small,62,"29,397,398"
Charlestown,2008,Small,40,"20,805,188"
Charlestown,2009,Small,31,"16,454,400"
Charlestown,2010,Small,25,"14,693,250"
Charlestown,2011,Small,16,"9,682,421"
Charlestown,2012,Small,43,"29,122,980"
Charlestown,2013,Small,35,"22,522,000"
Charlestown,2014,Small,32,"22,426,174"
Charlestown,2015,Small,43,"37,784,285"
Charlestown,2016,Small,77,"67,112,110"
Charlestown,2017,Small,47,"46,289,320"
Charlestown,2018,Small,44,"45,721,174"
Charlestown,2019,Small,35,"39,454,400"
Charlestown,2020,Small,37,"37,412,288"
Charlestown,2021,Small,47,"55,721,000"
Charlestown,2022,Small,33,"49,072,844"
Charlestown,2000,Medium,8,"3,067,500"
Charlestown,2001,Medium,10,"4,711,800"
Charlestown,2002,Medium,10,"3,750,900"
Charlestown,2003,Medium,6,"2,144,000"
Charlestown,2004,Medium,10,"4,640,000"
Charlestown,2005,Medium,21,"9,798,154"
Charlestown,2006,Medium,20,"10,328,223"
Charlestown,2007,Medium,13,"6,159,500"
Charlestown,2008,Medium,11,"5,191,934"
Charlestown,2009,Medium,14,"5,622,986"
Charlestown,2010,Medium,6,"3,699,000"
Charlestown,2011,Medium,9,"5,607,500"
Charlestown,2012,Medium,10,"4,855,250"
Charlestown,2013,Medium,16,"11,107,000"
Charlestown,2014,Medium,12,"8,111,000"
Charlestown,2015,Medium,9,"6,102,400"
Charlestown,2016,Medium,14,"15,417,400"
Charlestown,2017,Medium,14,"20,512,100"
Charlestown,2018,Medium,12,"8,833,962"
Charlestown,2019,Medium,9,"13,913,500"
Charlestown,2020,Medium,5,"4,702,500"
Charlestown,2021,Medium,18,"25,366,000"
Charlestown,2022,Medium,12,"18,011,500"
Charlestown,2000,Large,4,"2,016,666"
Charlestown,2001,Large,5,"1,711,500"
Charlestown,2002,Large,6,"2,580,767"
Charlestown,2003,Large,1,"580,000"
Charlestown,2004,Large,8,"4,566,000"
Charlestown,2005,Large,4,"2,386,000"
Charlestown,2006,Large,8,"5,225,000"
Charlestown,2007,Large,14,"7,236,854"
Charlestown,2008,Large,4,"2,337,000"
Charlestown,2009,Large,7,"2,640,941"
Charlestown,2010,Large,6,"3,371,500"
Charlestown,2011,Large,3,"1,218,500"
Charlestown,2012,Large,6,"2,905,250"
Charlestown,2013,Large,1,"680,000"
Charlestown,2014,Large,8,"15,712,500"
Charlestown,2015,Large,7,"21,274,904"
Charlestown,2016,Large,5,"4,293,000"
Charlestown,2017,Large,11,"7,924,500"
Charlestown,2018,Large,4,"3,175,000"
Charlestown,2019,Large,4,"3,239,750"
Charlestown,2020,Large,5,"6,215,000"
Charlestown,2021,Large,1,"1,160,000"
Charlestown,2022,Large,8,"29,486,750"
Charlestown,2000,Institutional,15,"5,352,960"
Charlestown,2001,Institutional,6,"2,350,000"
Charlestown,2002,Institutional,10,"4,486,750"
Charlestown,2003,Institutional,12,"5,108,365"
Charlestown,2004,Institutional,11,"95,934,500"
Charlestown,2005,Institutional,8,"4,118,000"
Charlestown,2006,Institutional,17,"8,075,047"
Charlestown,2007,Institutional,16,"7,078,000"
Charlestown,2008,Institutional,18,"7,462,509"
Charlestown,2009,Institutional,13,"5,370,305"
Charlestown,2010,Institutional,17,"5,544,006"
Charlestown,2011,Institutional,15,"5,454,305"
Charlestown,2012,Institutional,13,"50,937,935"
Charlestown,2013,Institutional,6,"2,950,289"
Charlestown,2014,Institutional,4,"3,274,000"
Charlestown,2015,Institutional,4,"55,962,000"
Charlestown,2016,Institutional,4,"3,041,664"
Charlestown,2017,Institutional,4,"150,970,000"
Charlestown,2019,Institutional,1,"1,425,000"
Charlestown,2020,Institutional,2,"1,875,000"
Charlestown,2021,Institutional,3,"6,295,000"
Charlestown,2022,Institutional,4,"5,308,500"
Chinatown,2000,Small,19,"7,993,150"
Chinatown,2001,Small,23,"16,674,100"
Chinatown,2002,Small,47,"28,989,821"
Chinatown,2003,Small,18,"18,248,675"
Chinatown,2004,Small,158,"100,701,620"
Chinatown,2005,Small,115,"93,894,335"
Chinatown,2006,Small,139,"85,244,416"
Chinatown,2007,Small,44,"39,969,100"
Chinatown,2008,Small,29,"39,467,402"
Chinatown,2009,Small,17,"15,580,502"
Chinatown,2010,Small,13,"15,271,166"
Chinatown,2011,Small,10,"14,682,000"
Chinatown,2012,Small,15,"19,584,200"
Chinatown,2013,Small,26,"29,484,500"
Chinatown,2014,Small,13,"22,367,500"
Chinatown,2015,Small,29,"50,496,500"
Chinatown,2016,Small,28,"42,512,100"
Chinatown,2017,Small,20,"31,893,500"
Chinatown,2018,Small,15,"25,624,000"
Chinatown,2019,Small,16,"23,146,500"
Chinatown,2020,Small,11,"17,830,375"
Chinatown,2021,Small,19,"31,880,500"
Chinatown,2022,Small,18,"28,198,000"
Chinatown,2000,Medium,2,"6,067,500"
Chinatown,2001,Medium,6,"18,873,790"
Chinatown,2002,Medium,2,"1,235,000"
Chinatown,2003,Medium,8,"18,689,120"
Chinatown,2004,Medium,11,"14,252,044"
Chinatown,2005,Medium,16,"27,791,000"
Chinatown,2006,Medium,17,"22,875,200"
Chinatown,2007,Medium,8,"11,997,500"
Chinatown,2008,Medium,9,"16,750,000"
Chinatown,2009,Medium,4,"3,296,000"
Chinatown,2010,Medium,4,"2,823,600"
Chinatown,2011,Medium,2,"7,550,000"
Chinatown,2012,Medium,2,"2,835,000"
Chinatown,2013,Medium,5,"8,922,001"
Chinatown,2014,Medium,9,"21,117,500"
Chinatown,2015,Medium,5,"8,144,000"
Chinatown,2016,Medium,5,"9,635,500"
Chinatown,2017,Medium,8,"19,400,000"
Chinatown,2018,Medium,5,"16,103,000"
Chinatown,2019,Medium,8,"10,465,000"
Chinatown,2020,Medium,6,"10,641,700"
Chinatown,2021,Medium,7,"10,360,000"
Chinatown,2022,Medium,5,"19,384,000"
Chinatown,2002,Large,1,"637,000"
Chinatown,2003,Large,4,"4,891,000"
Chinatown,2004,Large,4,"8,046,200"
Chinatown,2005,Large,7,"8,105,500"
Chinatown,2006,Large,5,"8,377,500"
Chinatown,2007,Large,6,"52,735,000"
Chinatown,2008,Large,4,"2,750,500"
Chinatown,2009,Large,7,"35,239,280"
Chinatown,2010,Large,4,"5,350,900"
Chinatown,2011,Large,3,"3,580,000"
Chinatown,2012,Large,4,"3,037,234"
Chinatown,2013,Large,10,"15,869,000"
Chinatown,2014,Large,7,"17,384,000"
Chinatown,2015,Large,8,"8,840,000"
Chinatown,2016,Large,3,"13,920,000"
Chinatown,2017,Large,5,"18,840,000"
Chinatown,2019,Large,5,"33,618,000"
Chinatown,2020,Large,4,"10,903,409"
Chinatown,2021,Large,7,"13,144,000"
Chinatown,2022,Large,4,"18,185,000"
Chinatown,2003,Institutional,2,"1,014,000"
Chinatown,2004,Institutional,1,"340,000"
Chinatown,2006,Institutional,3,"4,510,000"
Chinatown,2007,Institutional,4,"8,319,500"
Chinatown,2008,Institutional,4,"2,366,438"
Chinatown,2009,Institutional,4,"2,077,974"
Chinatown,2010,Institutional,1,"857,500"
Chinatown,2011,Institutional,5,"3,922,354"
Chinatown,2012,Institutional,7,"3,900,895"
Chinatown,2015,Institutional,1,"1,700,000"
Chinatown,2018,Institutional,5,"9,030,000"
Chinatown,2019,Institutional,4,"8,000,000"
Chinatown,2022,Institutional,1,"97,500,000"
Dorchester,2000,Small,113,"28,981,350"
Dorchester,2001,Small,107,"32,139,700"
Dorchester,2002,Small,102,"37,372,700"
Dorchester,2003,Small,121,"49,902,778"
Dorchester,2004,Small,184,"97,349,167"
Dorchester,2005,Small,215,"83,219,513"
Dorchester,2006,Small,267,"105,070,831"
Dorchester,2007,Small,283,"103,725,228"
Dorchester,2008,Small,174,"50,139,052"
Dorchester,2009,Small,180,"45,915,983"
Dorchester,2010,Small,176,"48,418,039"
Dorchester,2011,Small,142,"49,042,895"
Dorchester,2012,Small,157,"56,766,385"
Dorchester,2013,Small,170,"67,955,516"
Dorchester,2014,Small,122,"56,403,410"
Dorchester,2015,Small,170,"83,767,184"
Dorchester,2016,Small,153,"83,419,422"
Dorchester,2017,Small,163,"92,252,454"
Dorchester,2018,Small,137,"102,513,002"
Dorchester,2019,Small,128,"91,356,883"
Dorchester,2020,Small,100,"81,831,368"
Dorchester,2021,Small,164,"145,781,202"
Dorchester,2022,Small,152,"137,729,004"
Dorchester,2000,Medium,26,"5,530,850"
Dorchester,2001,Medium,27,"7,055,305"
Dorchester,2002,Medium,42,"28,047,233"
Dorchester,2003,Medium,56,"26,840,514"
Dorchester,2004,Medium,50,"33,063,786"
Dorchester,2005,Medium,91,"46,522,840"
Dorchester,2006,Medium,68,"25,728,992"
Dorchester,2007,Medium,89,"37,026,582"
Dorchester,2008,Medium,65,"19,789,878"
Dorchester,2009,Medium,58,"12,155,371"
Dorchester,2010,Medium,77,"19,241,710"
Dorchester,2011,Medium,62,"23,604,449"
Dorchester,2012,Medium,53,"28,676,919"
Dorchester,2013,Medium,56,"27,632,400"
Dorchester,2014,Medium,73,"38,155,401"
Dorchester,2015,Medium,70,"30,291,961"
Dorchester,2016,Medium,74,"47,210,456"
Dorchester,2017,Medium,64,"44,341,900"
Dorchester,2018,Medium,51,"40,828,500"
Dorchester,2019,Medium,57,"52,492,300"
Dorchester,2020,Medium,46,"32,089,871"
Dorchester,2021,Medium,55,"55,058,165"
Dorchester,2022,Medium,53,"56,461,800"
Dorchester,2000,Large,39,"6,015,475"
Dorchester,2001,Large,34,"7,902,400"
Dorchester,2002,Large,30,"8,958,400"
Dorchester,2003,Large,28,"8,301,000"
Dorchester,2004,Large,50,"19,523,800"
Dorchester,2005,Large,49,"20,070,400"
Dorchester,2006,Large,53,"25,356,410"
Dorchester,2007,Large,109,"33,348,346"
Dorchester,2008,Large,133,"51,834,491"
Dorchester,2009,Large,107,"21,528,184"
Dorchester,2010,Large,85,"17,130,941"
Dorchester,2011,Large,73,"34,829,867"
Dorchester,2012,Large,47,"11,011,341"
Dorchester,2013,Large,58,"45,598,543"
Dorchester,2014,Large,49,"54,040,795"
Dorchester,2015,Large,60,"75,790,589"
Dorchester,2016,Large,57,"66,309,071"
Dorchester,2017,Large,44,"26,763,874"
Dorchester,2018,Large,51,"43,646,863"
Dorchester,2019,Large,43,"36,157,005"
Dorchester,2020,Large,28,"22,793,138"
Dorchester,2021,Large,43,"94,126,006"
Dorchester,2022,Large,26,"26,276,000"
Dorchester,2000,Institutional,30,"7,569,917"
Dorchester,2001,Institutional,25,"6,201,111"
Dorchester,2002,Institutional,26,"8,608,001"
Dorchester,2003,Institutional,25,"8,584,303"
Dorchester,2004,Institutional,21,"9,922,200"
Dorchester,2005,Institutional,69,"24,144,262"
Dorchester,2006,Institutional,105,"38,782,836"
Dorchester,2007,Institutional,362,"114,270,621"
Dorchester,2008,Institutional,888,"193,263,225"
Dorchester,2009,Institutional,630,"104,472,003"
Dorchester,2010,Institutional,511,"104,030,000"
Dorchester,2011,Institutional,293,"58,948,793"
Dorchester,2012,Institutional,250,"109,757,579"
Dorchester,2013,Institutional,112,"27,377,304"
Dorchester,2014,Institutional,79,"98,212,118"
Dorchester,2015,Institutional,102,"924,680,983"
Dorchester,2016,Institutional,125,"138,244,101"
Dorchester,2017,Institutional,93,"219,109,768"
Dorchester,2018,Institutional,91,"280,208,624"
Dorchester,2019,Institutional,39,"21,821,610"
Dorchester,2020,Institutional,60,"344,885,917"
Dorchester,2021,Institutional,27,"105,190,000"
Dorchester,2022,Institutional,39,"39,829,242"
Downtown,2000,Small,48,"26,778,900"
Downtown,2001,Small,49,"28,846,775"
Downtown,2002,Small,97,"51,723,353"
Downtown,2003,Small,61,"32,466,800"
Downtown,2004,Small,86,"45,056,228"
Downtown,2005,Small,135,"77,916,532"
Downtown,2006,Small,234,"148,915,441"
Downtown,2007,Small,121,"84,171,570"
Downtown,2008,Small,104,"88,174,351"
Downtown,2009,Small,43,"28,796,244"
Downtown,2010,Small,82,"64,298,387"
Downtown,2011,Small,52,"50,017,660"
Downtown,2012,Small,66,"63,333,600"
Downtown,2013,Small,112,"78,217,881"
Downtown,2014,Small,59,"84,066,800"
Downtown,2015,Small,66,"88,320,000"
Downtown,2016,Small,58,"88,242,277"
Downtown,2017,Small,61,"72,447,570"
Downtown,2018,Small,47,"66,742,002"
Downtown,2019,Small,89,"194,741,210"
Downtown,2020,Small,53,"84,236,020"
Downtown,2021,Small,74,"125,838,700"
Downtown,2022,Small,84,"179,256,350"
Downtown,2000,Medium,18,"10,358,887"
Downtown,2001,Medium,12,"6,784,500"
Downtown,2002,Medium,25,"10,058,250"
Downtown,2003,Medium,15,"6,337,000"
Downtown,2004,Medium,14,"6,478,750"
Downtown,2005,Medium,42,"36,279,076"
Downtown,2006,Medium,15,"14,991,655"
Downtown,2007,Medium,24,"27,552,000"
Downtown,2008,Medium,49,"50,465,783"
Downtown,2009,Medium,15,"10,238,067"
Downtown,2010,Medium,14,"18,330,000"
Downtown,2011,Medium,19,"33,064,500"
Downtown,2012,Medium,39,"48,193,213"
Downtown,2013,Medium,23,"40,845,688"
Downtown,2014,Medium,32,"79,590,404"
Downtown,2015,Medium,23,"33,026,004"
Downtown,2016,Medium,29,"78,292,277"
Downtown,2017,Medium,40,"63,018,825"
Downtown,2018,Medium,42,"102,215,800"
Downtown,2019,Medium,40,"170,170,000"
Downtown,2020,Medium,25,"91,631,000"
Downtown,2021,Medium,24,"87,402,318"
Downtown,2022,Medium,29,"121,251,767"
Downtown,2000,Large,12,"1,466,750"
Downtown,2001,Large,4,"680,900"
Downtown,2002,Large,4,"928,500"
Downtown,2003,Large,12,"4,893,500"
Downtown,2004,Large,7,"28,223,500"
Downtown,2005,Large,9,"47,451,561"
Downtown,2006,Large,6,"3,466,100"
Downtown,2007,Large,11,"4,604,833"
Downtown,2008,Large,11,"25,360,928"
Downtown,2009,Large,5,"2,595,713"
Downtown,2010,Large,10,"22,605,500"
Downtown,2011,Large,6,"14,318,000"
Downtown,2012,Large,15,"34,439,643"
Downtown,2013,Large,10,"5,280,500"
Downtown,2014,Large,13,"35,122,500"
Downtown,2015,Large,7,"15,712,500"
Downtown,2016,Large,6,"15,735,000"
Downtown,2017,Large,17,"80,920,000"
Downtown,2018,Large,8,"16,390,000"
Downtown,2019,Large,18,"104,541,000"
Downtown,2020,Large,16,"170,246,900"
Downtown,2021,Large,20,"111,170,650"
Downtown,2022,Large,14,"88,719,500"
Downtown,2000,Institutional,7,"97,796,516"
Downtown,2001,Institutional,5,"367,922,000"
Downtown,2002,Institutional,8,"1,427,900"
Downtown,2003,Institutional,6,"3,104,000"
Downtown,2004,Institutional,11,"5,933,400"
Downtown,2005,Institutional,9,"46,094,261"
Downtown,2006,Institutional,15,"7,671,302"
Downtown,2007,Institutional,14,"5,047,630"
Downtown,2008,Institutional,18,"176,432,345"
Downtown,2009,Institutional,7,"3,063,270"
Downtown,2010,Institutional,10,"4,933,306"
Downtown,2011,Institutional,8,"4,101,132"
Downtown,2012,Institutional,13,"3,753,479"
Downtown,2013,Institutional,3,"3,709,500"
Downtown,2014,Institutional,2,"500,700"
Downtown,2015,Institutional,4,"65,028,250"
Downtown,2016,Institutional,3,"1,382,500"
Downtown,2017,Institutional,8,"4,288,000"
Downtown,2018,Institutional,7,"4,366,462"
Downtown,2019,Institutional,4,"152,905,000"
Downtown,2020,Institutional,2,"62,000,000"
Downtown,2021,Institutional,5,"67,875,000"
Downtown,2022,Institutional,3,"2,532,500"
East Boston,2000,Small,58,"16,319,102"
East Boston,2001,Small,46,"14,015,800"
East Boston,2002,Small,49,"14,255,570"
East Boston,2003,Small,51,"17,602,602"
