year_original,HPI,year
2018-09-01,214.963177483277,2018.6657534246576
2018-10-01,216.18425281571493,2018.7479452054795
2018-11-01,217.072128279864,2018.8328767123287
2018-12-01,217.275277976153,2018.9150684931508
2019-01-01,217.478470363308,2019.0
2019-02-01,217.362486129866,2019.0849315068492
2019-03-01,218.36995790308296,2019.1616438356164
2019-04-01,219.634896610645,2019.2465753424658
2019-05-01,219.934773880503,2019.3287671232877
2019-06-01,221.27654886705105,2019.4136986301369
2019-07-01,221.831604781701,2019.495890410959
2019-08-01,222.6845695813,2019.5808219178082
2019-09-01,222.59171614569496,2019.6657534246576
2019-10-01,223.788848488305,2019.7479452054795
2019-11-01,225.58138041757496,2019.8328767123287
2019-12-01,227.164459889621,2019.9150684931508
2020-01-01,227.563284561306,2020.0
2020-02-01,228.071544654586,2020.0846994535518
2020-03-01,228.732244783026,2020.1639344262296
2020-04-01,228.77715675754905,2020.2486338797814
2020-05-01,228.85843983150693,2020.3306010928961
2020-06-01,228.688257704051,2020.4153005464482
2020-07-01,231.436288875828,2020.4972677595629
2020-08-01,235.35595829624296,2020.5819672131147
2020-09-01,240.014030787888,2020.6666666666667
2020-10-01,245.013483482113,2020.7486338797814
2020-11-01,249.44704216403096,2020.8333333333333
2020-12-01,253.451816236578,2020.9153005464482
2021-01-01,256.873830753701,2021.0
2021-02-01,259.584777181316,2021.0849315068492
2021-03-01,262.786506313628,2021.1616438356164
2021-04-01,265.39691311652894,2021.2465753424658
2021-05-01,268.017787118173,2021.3287671232877
2021-06-01,270.5888287257809,2021.4136986301369
2021-07-01,274.36131448721403,2021.495890410959
2021-08-01,276.907839035596,2021.5808219178082
2021-09-01,280.457108695951,2021.6657534246576
2021-10-01,282.20897534970294,2021.7479452054795
2021-11-01,283.468239718447,2021.8328767123287
2021-12-01,287.822492821576,2021.9150684931508
2022-01-01,291.44664689154894,2022.0
2022-02-01,297.644316647962,2022.0849315068492
2022-03-01,301.440636216908,2022.1616438356164
2022-04-01,305.160246487601,2022.2465753424658
2022-05-01,309.494298382606,2022.3287671232877
2022-06-01,310.489061098199,2022.4136986301369
2022-07-01,310.557923312578,2022.495890410959
2022-08-01,308.303239929036,2022.5808219178082
2022-09-01,305.23008781366,2022.6657534246576
2022-10-01,303.929007498455,2022.7479452054795
2022-11-01,303.4779058754,2022.8328767123287
2022-12-01,303.22591729268504,2022.9150684931508
